variant,animal id,age,tissue id,xna,route,tissue,count
AAV9.452sub-LUNG1,RMN-001,adult,RMN-001_dcortex,DNA,iv,brain,25419
AAV9.452sub-LUNG1,RMN-001,adult,RMN-001_dcaudate,DNA,iv,brain,22639
AAV9.452sub-LUNG1,RMN-001,adult,RMN-001_dtemporal,DNA,iv,brain,23215
AAV9.452sub-LUNG1,RMN-001,adult,RMN-001_dputamen,DNA,iv,brain,20139
AAV9.452sub-LUNG1,RMN-001,adult,RMN-001_m,DNA,iv,brain,7030
AAV9.452sub-LUNG1,RMN-002,adult,RMN-002_b,DNA,iv,brain,65474
AAV9.452sub-LUNG1,RMN-002,adult,RMN-002_dcortex,DNA,iv,brain,32864
AAV9.452sub-LUNG1,RMN-002,adult,RMN-002_dcaudate,DNA,iv,brain,530809
AAV9.452sub-LUNG1,RMN-002,adult,RMN-002_dtemporal,DNA,iv,brain,306627
AAV9.452sub-LUNG1,RMN-002,adult,RMN-002_dputamen,DNA,iv,brain,117694
AAV9.452sub-LUNG1,RMN-002,adult,RMN-002_m,DNA,iv,brain,54453
AAV9.452sub-LUNG1,virus,adult,virus,DNA,iv,virus,1783857
AAV.CAP-Mac,RMN-001,adult,RMN-001_b,DNA,iv,brain,573473
AAV.CAP-Mac,RMN-001,adult,RMN-001_dcortex,DNA,iv,brain,508898
AAV.CAP-Mac,RMN-001,adult,RMN-001_dcaudate,DNA,iv,brain,460006
AAV.CAP-Mac,RMN-001,adult,RMN-001_dtemporal,DNA,iv,brain,454530
AAV.CAP-Mac,RMN-001,adult,RMN-001_dputamen,DNA,iv,brain,469462
AAV.CAP-Mac,RMN-001,adult,RMN-001_m,DNA,iv,brain,118588
AAV.CAP-Mac,RMN-002,adult,RMN-002_b,DNA,iv,brain,661399
AAV.CAP-Mac,RMN-002,adult,RMN-002_dcortex,DNA,iv,brain,227450
AAV.CAP-Mac,RMN-002,adult,RMN-002_dcaudate,DNA,iv,brain,553931
AAV.CAP-Mac,RMN-002,adult,RMN-002_dtemporal,DNA,iv,brain,474252
AAV.CAP-Mac,RMN-002,adult,RMN-002_dputamen,DNA,iv,brain,512384
AAV.CAP-Mac,RMN-002,adult,RMN-002_m,DNA,iv,brain,817186
AAV.CAP-Mac,virus,adult,virus,DNA,iv,virus,1072933
AAV.CAP-C2,RMN-001,adult,RMN-001_b,DNA,iv,brain,56664
AAV.CAP-C2,RMN-001,adult,RMN-001_dcortex,DNA,iv,brain,56259
AAV.CAP-C2,RMN-001,adult,RMN-001_dcaudate,DNA,iv,brain,39560
AAV.CAP-C2,RMN-001,adult,RMN-001_dtemporal,DNA,iv,brain,44408
AAV.CAP-C2,RMN-001,adult,RMN-001_dputamen,DNA,iv,brain,38818
AAV.CAP-C2,RMN-001,adult,RMN-001_m,DNA,iv,brain,12058
AAV.CAP-C2,RMN-002,adult,RMN-002_b,DNA,iv,brain,69608
AAV.CAP-C2,RMN-002,adult,RMN-002_dcortex,DNA,iv,brain,26260
AAV.CAP-C2,RMN-002,adult,RMN-002_dcaudate,DNA,iv,brain,93839
AAV.CAP-C2,RMN-002,adult,RMN-002_dtemporal,DNA,iv,brain,65196
AAV.CAP-C2,RMN-002,adult,RMN-002_dputamen,DNA,iv,brain,54322
AAV.CAP-C2,RMN-002,adult,RMN-002_m,DNA,iv,brain,84628
AAV.CAP-C2,virus,adult,virus,DNA,iv,virus,1209603
