variant,animal id,age,tissue id,xna,route,tissue,count
AAV.CAP-C2,RM-004,infant,6,DNA,lp,brain,35
AAV.CAP-C2,RM-004,infant,7,DNA,lp,brain,30
AAV.CAP-C2,RM-004,infant,8,DNA,lp,brain,21
AAV.CAP-C2,RM-004,infant,9,DNA,lp,brain,15036
AAV.CAP-C2,RM-004,infant,10,DNA,lp,brain,30039
AAV.CAP-C2,RM-004,infant,1,DNA,lp,liver,27
AAV9,RM-004,infant,1,DNA,lp,brain,42737
AAV9,RM-004,infant,2,DNA,lp,brain,27597
AAV9,RM-004,infant,3,DNA,lp,brain,18
AAV9,RM-004,infant,4,DNA,lp,brain,9
AAV9,RM-004,infant,5,DNA,lp,brain,28
AAV9,RM-004,infant,6,DNA,lp,brain,22
AAV9,RM-004,infant,7,DNA,lp,brain,7
AAV9,RM-004,infant,8,DNA,lp,brain,33
AAV9,RM-004,infant,9,DNA,lp,brain,10313
AAV9,RM-004,infant,10,DNA,lp,brain,19577
AAV9,RM-004,infant,1,DNA,lp,liver,204
AAV.CAP-B22,RM-004,infant,1,DNA,lp,brain,20415
AAV.CAP-B22,RM-004,infant,2,DNA,lp,brain,18997
AAV.CAP-B22,RM-004,infant,3,DNA,lp,brain,8
AAV.CAP-B22,RM-004,infant,4,DNA,lp,brain,0
AAV.CAP-B22,RM-004,infant,5,DNA,lp,brain,14
AAV.CAP-B22,RM-004,infant,6,DNA,lp,brain,9
AAV.CAP-B22,RM-004,infant,7,DNA,lp,brain,0
AAV.CAP-B22,RM-004,infant,8,DNA,lp,brain,0
AAV.CAP-B22,RM-004,infant,9,DNA,lp,brain,7237
AAV.CAP-B22,RM-004,infant,10,DNA,lp,brain,12083
AAV.CAP-B22,RM-004,infant,1,DNA,lp,liver,0
AAV.CAP-B10,RM-004,infant,1,DNA,lp,brain,2100
AAV.CAP-B10,RM-004,infant,2,DNA,lp,brain,3140
AAV.CAP-B10,RM-004,infant,3,DNA,lp,brain,0
AAV.CAP-B10,RM-004,infant,4,DNA,lp,brain,0
AAV.CAP-B10,RM-004,infant,5,DNA,lp,brain,0
AAV.CAP-B10,RM-004,infant,6,DNA,lp,brain,16
AAV.CAP-B10,RM-004,infant,7,DNA,lp,brain,0
AAV.CAP-B10,RM-004,infant,8,DNA,lp,brain,0
AAV.CAP-B10,RM-004,infant,9,DNA,lp,brain,1467
AAV.CAP-B10,RM-004,infant,10,DNA,lp,brain,2723
AAV.CAP-B10,RM-004,infant,1,DNA,lp,liver,257
AAV9.452sub-LUNG1,RM-003,infant,1,DNA,lp,brain,160
AAV9.452sub-LUNG1,RM-003,infant,2,DNA,lp,brain,718
AAV9.452sub-LUNG1,RM-003,infant,3,DNA,lp,brain,3403
AAV9.452sub-LUNG1,RM-003,infant,4,DNA,lp,brain,419
AAV9.452sub-LUNG1,RM-003,infant,5,DNA,lp,brain,102895
AAV9.452sub-LUNG1,RM-003,infant,6,DNA,lp,brain,110552
AAV9.452sub-LUNG1,RM-003,infant,7,DNA,lp,brain,241320
AAV9.452sub-LUNG1,RM-003,infant,8,DNA,lp,brain,51
AAV9.452sub-LUNG1,RM-003,infant,9,DNA,lp,brain,99
AAV9.452sub-LUNG1,RM-003,infant,10,DNA,lp,brain,118
AAV9.452sub-LUNG1,RM-003,infant,1,DNA,lp,liver,180259
AAV.CAP-Mac,RM-003,infant,1,DNA,lp,brain,152
AAV.CAP-Mac,RM-003,infant,2,DNA,lp,brain,1792
AAV.CAP-Mac,RM-003,infant,3,DNA,lp,brain,5140
AAV.CAP-Mac,RM-003,infant,4,DNA,lp,brain,361
AAV.CAP-Mac,RM-003,infant,5,DNA,lp,brain,194869
AAV.CAP-Mac,RM-003,infant,6,DNA,lp,brain,151087
AAV.CAP-Mac,RM-003,infant,7,DNA,lp,brain,493526
AAV.CAP-Mac,RM-003,infant,8,DNA,lp,brain,102
AAV.CAP-Mac,RM-003,infant,9,DNA,lp,brain,135
AAV.CAP-Mac,RM-003,infant,10,DNA,lp,brain,324
AAV.CAP-Mac,RM-003,infant,1,DNA,lp,liver,129666
AAV.CAP-B2,RM-003,infant,1,DNA,lp,brain,79
AAV.CAP-B2,RM-003,infant,2,DNA,lp,brain,549
AAV.CAP-B2,RM-003,infant,3,DNA,lp,brain,1523
AAV.CAP-B2,RM-003,infant,4,DNA,lp,brain,96
AAV.CAP-B2,RM-003,infant,5,DNA,lp,brain,69189
AAV.CAP-B2,RM-003,infant,6,DNA,lp,brain,79692
AAV.CAP-B2,RM-003,infant,7,DNA,lp,brain,169002
AAV.CAP-B2,RM-003,infant,8,DNA,lp,brain,9
AAV.CAP-B2,RM-003,infant,9,DNA,lp,brain,45
AAV.CAP-B2,RM-003,infant,10,DNA,lp,brain,81
AAV.CAP-B2,RM-003,infant,1,DNA,lp,liver,54502
AAV.CAP-C2,RM-003,infant,1,DNA,lp,brain,0
AAV.CAP-C2,RM-003,infant,2,DNA,lp,brain,270
AAV.CAP-C2,RM-003,infant,3,DNA,lp,brain,762
AAV.CAP-C2,RM-003,infant,4,DNA,lp,brain,54
AAV.CAP-C2,RM-003,infant,5,DNA,lp,brain,28140
AAV.CAP-C2,RM-003,infant,6,DNA,lp,brain,33147
AAV.CAP-C2,RM-003,infant,7,DNA,lp,brain,55775
AAV.CAP-C2,RM-003,infant,8,DNA,lp,brain,14
AAV.CAP-C2,RM-003,infant,9,DNA,lp,brain,0
AAV.CAP-C2,RM-003,infant,10,DNA,lp,brain,40
